stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
20MICRONS,15.77,18.42,1.44,2.79,44.83,44.83,55.05,54.03
21STCENMGM,-1.14,-1.80,-1.08,-1.67,62.28,61.29,37.22,36.83
3IINFOLTD,-15.53,13.28,-0.77,0.40,None,None,85.50,88.67
3MINDIA,93,115,57.59,88.65,75.00,75.00,13.60,13.83
3PLAND,0.81,1.03,0.33,0.42,73.30,73.30,26.70,26.70
5PAISA,8,20,0.57,3.53,29.96,32.68,45.01,43.39
63MOONS,-15.94,-10.30,-7.39,0.35,45.63,45.63,49.32,48.64
A2ZINFRA,-0.68,-4.18,-9.06,-0.27,28.14,28.15,70.67,70.90
AAKASH,3.52,3.61,0.13,0.13,None,None,None,None
AAREYDRUGS,3.42,4.27,1.21,0.84,49.38,50.04,46.14,45.97
AARON,None,None,None,None,None,None,None,None
AARTIDRUGS,69,70,4.39,3.95,60.12,59.77,35.55,35.11
AARTIIND,255,268,4.15,3.46,44.21,44.16,29.18,28.69
AARTISURF,None,None,None,None,None,None,None,None
AARVEEDEN,-7,-11,-5.27,-7.40,65.80,65.80,32.09,32.10
AARVI,3.51,5.16,2.35,3.24,None,None,None,None
AAVAS,None,None,11.67,13.52,39.22,39.16,10.85,12.16
ABAN,11,-10,-3.32,8.57,46.00,46.00,52.05,52.04
ABB,181,211,5.66,9.32,75.00,75.00,14.55,7.69
ABBOTINDIA,260,343,90.51,124.95,74.99,74.99,17.89,16.95
ABCAPITAL,15,84,0.04,0.26,70.69,71.06,15.19,14.33
ABFRL,315,443,0.15,0.84,56.13,56.08,11.33,9.87
ABMINTLLTD,2.36,-6.68,2.32,-6.92,None,None,None,None
ABSLAMC,None,None,None,None,None,None,None,None
ACC,711,15,23.91,-4.85,54.53,56.69,12.30,12.55
ACCELYA,25,47,10.89,19.88,74.66,74.66,22.72,23.27
ACCURACY,None,None,None,None,None,None,None,None
ACE,35,45,1.93,2.99,66.76,66.76,24.02,23.83
ADANIENT,451,529,2.49,4.12,74.92,72.62,3.16,6.46
ADANIGREEN,16,-66,0.65,-0.59,60.14,60.75,21.71,22.74
ADANIPORTS,645,-179,1.36,-1.41,63.83,64.56,5.02,6.39
ADANIPOWER,4,7,-0.15,-0.13,74.97,74.97,8.33,11.80
ADANITRANS,3,-5,-0.20,0.29,74.92,73.87,1.49,2.61
ADL,0.41,0.66,0.22,0.34,None,None,None,None
ADVANIHOTR,-1.86,3.44,-0.42,0.47,50.17,50.19,49.72,49.60
AETHER,None,None,None,None,None,None,None,None
AGARIND,7.86,8.82,2.08,4.97,60.11,57.20,39.64,36.05
AGSTRA,None,None,None,None,None,None,None,None
AHLUCONT,63,62,5.34,5.85,55.32,55.32,3.80,4.94
AIRAN,2.38,3.85,0.15,0.18,None,None,None,None
AJMERA,22,49,2.76,9.58,69.73,69.74,30.22,30.23
AJRINFRA,-2,-2,0.15,-5.96,20.60,20.60,62.02,62.02
AKSHARCHEM,7.40,5.50,3.86,1.22,62.70,62.70,35.78,35.81
AKZOINDIA,95,106,12.23,14.36,74.76,74.76,12.97,13.51
ALEMBICLTD,3,10,2.86,2.37,70.88,70.88,23.00,24.16
ALKEM,588,406,46.67,29.33,58.84,57.16,21.84,22.65
ALLSEC,8.81,11.56,2.85,3.36,73.39,73.39,26.60,26.59
ALPA,3.53,-5.74,2.73,0.10,56.66,57.29,43.34,42.56
AMARAJABAT,269,360,8.44,11.84,28.06,28.06,36.59,43.45
AMBICAAGAR,0.90,0.89,0.31,0.64,48.35,48.35,51.65,51.65
AMDIND,2.28,4.06,-0.46,-0.14,66.64,66.64,33.36,33.25
AMRUTANJAN,23,16,6.79,4.37,50.02,50.02,41.41,42.62
ANDHRAPAP,35,146,4.74,28.52,72.20,72.24,15.54,19.67
ANGELONE,190,286,16.04,25.46,None,None,None,None
ANMOL,None,None,None,None,57.08,57.08,42.70,42.92
ANTGRAPHIC,0.04,0.03,0.00,0.00,None,None,None,None
APARINDS,121,227,14.64,29.17,60.46,60.64,16.47,16.30
APEX,31,12,7.05,4.35,72.62,72.62,19.74,20.04
APOLLO,9.91,11.99,1.32,1.58,59.10,59.10,37.25,40.18
APOLLOTYRE,376,437,1.41,1.27,37.34,37.34,22.57,21.46
APTECHT,4.41,7.35,1.68,1.31,48.37,47.41,41.88,43.29
ARCHIES,1.04,4.67,-0.33,0.21,62.35,62.25,37.43,37.53
ARIES,26,25,9.61,11.00,52.66,52.66,47.31,46.86
ARMANFIN,None,None,2.40,9.30,27.45,27.36,67.55,66.82
ARROWGREEN,0.34,2.07,2.57,1.72,70.35,68.60,29.59,31.42
ARTEMISMED,19.58,24.31,0.63,0.73,69.82,69.27,21.59,22.53
ARVIND,223,173,2.88,1.53,42.59,41.26,36.70,36.84
ASAHIINDIA,189,219,3.34,4.35,54.24,54.23,43.24,40.81
ASALCBR,20.40,10.82,7.89,4.17,58.45,58.45,40.02,40.75
ASHIMASYN,0.79,-0.98,-0.02,0.01,73.49,73.49,26.19,26.20
ASIANENE,14,-6,5.37,-3.24,59.61,59.62,40.14,39.18
ASIANPAINT,875,1116,6.45,7.96,52.79,52.63,19.35,19.99
ASTEC,21,33,4.63,9.33,65.20,66.77,22.37,21.87
ASTRAL,175,131,5.77,3.25,55.73,55.85,12.23,13.53
ASTRON,7.25,-10.37,0.47,-2.07,27.06,27.06,72.93,72.89
ATLANTA,32.40,-0.86,0.55,-0.15,62.49,63.30,37.48,36.67
AUBANK,None,None,4.45,5.15,28.39,25.59,18.26,14.58
